title,reason,original,cleaned
Best Jaffna Mutton Rolls Recipe Homemade (Step by Step Pics),Non-ingredient text,=====For Curry=====,
Best Jaffna Mutton Rolls Recipe Homemade (Step by Step Pics),Non-ingredient text,=====For wrapper=====,
Pazhaya Soru Kanji | Neeragaram | Leftover Rice Recipe,Scaled mass <2g (B-list),Green chili - 2,
Dal Curry Recipe Sri Lanka | Parippu/Dhal Curry for Rice,Scaled mass <2g (B-list),Green chili - 2,
Deep Frying Shrimp with Cornstarch | Unique Prawns Fry,Non-ingredient text,-----For Shrimp-----,
Deep Frying Shrimp with Cornstarch | Unique Prawns Fry,Non-ingredient text,-----For Coating Batter-----,
Spicy Chicken Thick Gravy Recipe without Coconut Milk (KETO),Non-ingredient text,-----For Chicken Curry-----,
Spicy Chicken Thick Gravy Recipe without Coconut Milk (KETO),Non-ingredient text,-----For Curry Powder-----,
Best Chicken Kottu Roti Recipe | Sri Lankan Kothu Parotta Homemade,Non-ingredient text,-----For Chicken Curry-----,
Best Chicken Kottu Roti Recipe | Sri Lankan Kothu Parotta Homemade,Non-ingredient text,-----For Kottu Roti-----,
Sri Lankan Style Fish Patties Recipe with Potatoes(Deep Fry),Non-ingredient text,-----For The Dough-----,
Sri Lankan Style Fish Patties Recipe with Potatoes(Deep Fry),Non-ingredient text,-----For The Curry-----,
Sri Lankan Style Fish Patties Recipe with Potatoes(Deep Fry),Non-ingredient text,-----For Make and Fry the Patties-----,
Make Best Nescafe Cake Recipe | Easy | Homemade,Non-ingredient text,-----For Cake-----,
Make Best Nescafe Cake Recipe | Easy | Homemade,Non-ingredient text,-----For Topping-----,
The Best Moist Chocolate Cake Recipe [Ever] for Beginners (No Coffee),Non-ingredient text,-----For Cake-----,
The Best Moist Chocolate Cake Recipe [Ever] for Beginners (No Coffee),Non-ingredient text,-----For Toppings-----,
Crispy Chicken rolls with Habanero and cheese,Non-ingredient text,(you may need more),
